Project_Name,Class_Name,Release_ID,Original_NSmells,Actual_Bugginess,Predicted_BPlus,Probability_BPlus_YES,Predicted_B,Probability_B_YES,Transition,Preventable_Actual_Buggy
ZOOKEEPER,src/java/main/org/apache/zookeeper/server/quorum/AuthFastLeaderElection.java,1,46.0000,YES,YES,0.96000000,YES,0.97000000,YES_TO_YES,NO
ZOOKEEPER,src/java/main/org/apache/zookeeper/server/Request.java,1,14.0000,YES,YES,0.86000000,YES,0.85000000,YES_TO_YES,NO
ZOOKEEPER,src/java/main/org/apache/jute/compiler/JField.java,1,1.0000,NO,NO,0.01000000,NO,0.00000000,NO_TO_NO,NO
ZOOKEEPER,src/java/main/org/apache/zookeeper/KeeperException.java,1,24.0000,YES,YES,0.78000000,YES,0.75000000,YES_TO_YES,NO
ZOOKEEPER,src/java/main/org/apache/zookeeper/server/quorum/QuorumPeer.java,1,23.0000,YES,YES,1.00000000,YES,0.98000000,YES_TO_YES,NO
ZOOKEEPER,src/java/jmx/org/apache/zookeeper/server/quorum/ManagedQuorumPeer.java,1,1.0000,YES,YES,0.89000000,YES,0.88000000,YES_TO_YES,NO
ZOOKEEPER,src/java/main/org/apache/jute/XmlOutputArchive.java,1,10.0000,NO,NO,0.07000000,NO,0.11000000,NO_TO_NO,NO
ZOOKEEPER,src/java/main/org/apache/zookeeper/WatchedEvent.java,1,2.0000,NO,NO,0.17000000,NO,0.21000000,NO_TO_NO,NO
ZOOKEEPER,docs/zookeeperInternals.html,1,23.0000,NO,NO,0.00000000,NO,0.00000000,NO_TO_NO,NO
ZOOKEEPER,src/java/main/org/apache/zookeeper/server/util/Profiler.java,1,1.0000,NO,NO,0.05000000,NO,0.07000000,NO_TO_NO,NO
ZOOKEEPER,docs/releasenotes.html,1,19.0000,NO,NO,0.00000000,NO,0.00000000,NO_TO_NO,NO
ZOOKEEPER,src/java/main/org/apache/jute/compiler/JBuffer.java,1,3.0000,NO,NO,0.00000000,NO,0.01000000,NO_TO_NO,NO
ZOOKEEPER,src/java/main/org/apache/zookeeper/server/upgrade/DataTreeV1.java,1,33.0000,NO,NO,0.07000000,NO,0.32000000,NO_TO_NO,NO
ZOOKEEPER,src/java/main/org/apache/zookeeper/CreateMode.java,1,1.0000,NO,NO,0.03000000,NO,0.05000000,NO_TO_NO,NO
ZOOKEEPER,src/docs/src/documentation/skinconf.xml,1,6.0000,NO,NO,0.00000000,NO,0.00000000,NO_TO_NO,NO
ZOOKEEPER,src/java/main/org/apache/zookeeper/server/quorum/Follower.java,1,7.0000,YES,YES,0.98000000,YES,0.95000000,YES_TO_YES,NO
ZOOKEEPER,src/java/main/org/apache/zookeeper/server/quorum/ProposalRequestProcessor.java,1,1.0000,YES,YES,0.95000000,YES,0.94000000,YES_TO_YES,NO
ZOOKEEPER,src/java/main/org/apache/jute/RecordWriter.java,1,17.0000,NO,NO,0.00000000,NO,0.01000000,NO_TO_NO,NO
ZOOKEEPER,src/java/main/org/apache/zookeeper/server/upgrade/UpgradeSnapShot.java,1,1.0000,NO,NO,0.08000000,NO,0.13000000,NO_TO_NO,NO
ZOOKEEPER,src/java/main/org/apache/zookeeper/server/persistence/FileTxnLog.java,1,15.0000,YES,YES,0.98000000,YES,0.91000000,YES_TO_YES,NO
ZOOKEEPER,src/java/jmx/org/apache/zookeeper/server/quorum/ObservableFollower.java,1,1.0000,NO,NO,0.01000000,NO,0.01000000,NO_TO_NO,NO
ZOOKEEPER,src/java/main/org/apache/zookeeper/server/persistence/Util.java,1,9.0000,YES,YES,0.94000000,YES,0.86000000,YES_TO_YES,NO
ZOOKEEPER,src/java/main/org/apache/zookeeper/server/persistence/FileTxnSnapLog.java,1,8.0000,YES,YES,0.89000000,YES,0.87000000,YES_TO_YES,NO
ZOOKEEPER,src/java/main/org/apache/zookeeper/ClientCnxn.java,1,41.0000,YES,YES,0.99000000,YES,0.95000000,YES_TO_YES,NO
ZOOKEEPER,src/java/main/org/apache/zookeeper/server/quorum/QuorumPeerConfig.java,1,8.0000,YES,YES,0.94000000,YES,0.89000000,YES_TO_YES,NO
ZOOKEEPER,docs/zookeeperOver.html,1,35.0000,NO,NO,0.00000000,NO,0.00000000,NO_TO_NO,NO
ZOOKEEPER,src/java/main/org/apache/jute/compiler/JRecord.java,1,49.0000,NO,NO,0.22000000,NO,0.40000000,NO_TO_NO,NO
ZOOKEEPER,src/java/main/org/apache/jute/compiler/generated/ParseException.java,1,15.0000,NO,NO,0.02000000,NO,0.06000000,NO_TO_NO,NO
ZOOKEEPER,src/java/main/org/apache/jute/Utils.java,1,27.0000,YES,YES,0.72000000,YES,0.62000000,YES_TO_YES,NO
ZOOKEEPER,src/java/jmx/org/apache/zookeeper/server/ManagedZooKeeperServer.java,1,1.0000,NO,NO,0.04000000,NO,0.05000000,NO_TO_NO,NO
ZOOKEEPER,src/java/jmx/org/apache/zookeeper/jmx/CommonNames.java,1,2.0000,NO,NO,0.00000000,NO,0.00000000,NO_TO_NO,NO
ZOOKEEPER,src/java/main/org/apache/zookeeper/server/ServerStats.java,1,15.0000,NO,NO,0.13000000,NO,0.14000000,NO_TO_NO,NO
ZOOKEEPER,src/java/main/org/apache/zookeeper/AsyncCallback.java,1,1.0000,NO,NO,0.01000000,NO,0.00000000,NO_TO_NO,NO
ZOOKEEPER,src/java/main/org/apache/jute/compiler/generated/Rcc.java,1,133.0000,NO,NO,0.07000000,NO,0.20000000,NO_TO_NO,NO
ZOOKEEPER,src/java/main/org/apache/zookeeper/server/quorum/Leader.java,1,39.0000,YES,YES,0.96000000,YES,0.95000000,YES_TO_YES,NO
ZOOKEEPER,src/java/main/org/apache/zookeeper/server/persistence/FileSnap.java,1,2.0000,YES,YES,0.91000000,YES,0.89000000,YES_TO_YES,NO
ZOOKEEPER,src/java/main/org/apache/zookeeper/server/ZooKeeperServer.java,1,30.0000,YES,YES,0.94000000,YES,0.92000000,YES_TO_YES,NO
ZOOKEEPER,src/java/main/org/apache/zookeeper/ZooKeeperMain.java,1,39.0000,YES,YES,0.76000000,YES,0.76000000,YES_TO_YES,NO
ZOOKEEPER,src/java/main/org/apache/jute/OutputArchive.java,1,7.0000,NO,NO,0.01000000,NO,0.02000000,NO_TO_NO,NO
ZOOKEEPER,src/java/main/org/apache/zookeeper/ZooKeeper.java,1,21.0000,YES,YES,1.00000000,YES,0.97000000,YES_TO_YES,NO
ZOOKEEPER,src/java/main/org/apache/jute/compiler/JVector.java,1,9.0000,NO,NO,0.03000000,NO,0.04000000,NO_TO_NO,NO
ZOOKEEPER,src/java/main/org/apache/zookeeper/server/quorum/QuorumStats.java,1,6.0000,NO,NO,0.15000000,NO,0.18000000,NO_TO_NO,NO
ZOOKEEPER,src/java/main/org/apache/zookeeper/server/upgrade/UpgradeMain.java,1,2.0000,NO,NO,0.19000000,NO,0.24000000,NO_TO_NO,NO
ZOOKEEPER,src/java/main/org/apache/jute/compiler/JMap.java,1,9.0000,NO,NO,0.00000000,NO,0.00000000,NO_TO_NO,NO
ZOOKEEPER,src/java/main/org/apache/zookeeper/server/TraceFormatter.java,1,4.0000,NO,NO,0.00000000,NO,0.01000000,NO_TO_NO,NO
ZOOKEEPER,src/java/main/org/apache/jute/compiler/JFloat.java,1,1.0000,NO,NO,0.00000000,NO,0.00000000,NO_TO_NO,NO
ZOOKEEPER,src/java/main/org/apache/jute/compiler/JLong.java,1,1.0000,NO,NO,0.00000000,NO,0.00000000,NO_TO_NO,NO
ZOOKEEPER,src/java/main/org/apache/zookeeper/server/auth/DigestAuthenticationProvider.java,1,16.0000,NO,NO,0.09000000,NO,0.13000000,NO_TO_NO,NO
ZOOKEEPER,docs/zookeeperTutorial.html,1,9.0000,NO,NO,0.00000000,NO,0.00000000,NO_TO_NO,NO
ZOOKEEPER,docs/javaExample.html,1,13.0000,NO,NO,0.00000000,NO,0.00000000,NO_TO_NO,NO
ZOOKEEPER,src/java/jmx/org/apache/zookeeper/server/ObservableNIOServerCnxn.java,1,1.0000,NO,NO,0.00000000,NO,0.00000000,NO_TO_NO,NO
ZOOKEEPER,src/java/main/org/apache/zookeeper/server/NIOServerCnxn.java,1,34.0000,YES,YES,0.99000000,YES,0.99000000,YES_TO_YES,NO
ZOOKEEPER,src/java/main/org/apache/jute/CsvInputArchive.java,1,14.0000,NO,NO,0.02000000,NO,0.06000000,NO_TO_NO,NO
ZOOKEEPER,src/java/main/org/apache/jute/compiler/generated/TokenMgrError.java,1,9.0000,NO,NO,0.00000000,NO,0.02000000,NO_TO_NO,NO
ZOOKEEPER,src/java/main/org/apache/zookeeper/ServerAdminClient.java,1,17.0000,NO,NO,0.24000000,NO,0.28000000,NO_TO_NO,NO
ZOOKEEPER,src/java/main/org/apache/zookeeper/server/quorum/FollowerRequestProcessor.java,1,2.0000,YES,YES,0.94000000,YES,0.93000000,YES_TO_YES,NO
ZOOKEEPER,src/java/main/org/apache/zookeeper/server/ZooTrace.java,1,16.0000,NO,NO,0.05000000,NO,0.07000000,NO_TO_NO,NO
ZOOKEEPER,src/java/main/org/apache/zookeeper/server/quorum/QuorumCnxManager.java,1,29.0000,YES,YES,0.94000000,YES,0.93000000,YES_TO_YES,NO
ZOOKEEPER,src/java/jmx/org/apache/zookeeper/jmx/server/DataTreeBean.java,1,2.0000,NO,NO,0.03000000,NO,0.03000000,NO_TO_NO,NO
ZOOKEEPER,src/java/main/org/apache/zookeeper/server/quorum/FollowerSessionTracker.java,1,7.0000,NO,NO,0.02000000,NO,0.05000000,NO_TO_NO,NO
ZOOKEEPER,src/java/main/org/apache/jute/compiler/generated/Token.java,1,10.0000,NO,NO,0.00000000,NO,0.00000000,NO_TO_NO,NO
ZOOKEEPER,src/java/main/org/apache/zookeeper/server/LogFormatter.java,1,2.0000,NO,NO,0.01000000,NO,0.01000000,NO_TO_NO,NO
ZOOKEEPER,src/java/main/org/apache/zookeeper/server/quorum/FastLeaderElection.java,1,24.0000,YES,YES,0.97000000,YES,0.93000000,YES_TO_YES,NO
ZOOKEEPER,src/java/main/org/apache/jute/compiler/JType.java,1,4.0000,NO,NO,0.03000000,NO,0.05000000,NO_TO_NO,NO
ZOOKEEPER,src/docs/status.xml,1,1.0000,NO,NO,0.00000000,NO,0.00000000,NO_TO_NO,NO
ZOOKEEPER,docs/zookeeperAdmin.html,1,49.0000,NO,NO,0.00000000,NO,0.00000000,NO_TO_NO,NO
ZOOKEEPER,src/java/main/org/apache/jute/compiler/generated/RccConstants.java,1,4.0000,NO,NO,0.00000000,NO,0.00000000,NO_TO_NO,NO
ZOOKEEPER,src/java/main/org/apache/zookeeper/server/upgrade/UpgradeSnapShotV1.java,1,5.0000,YES,YES,0.76000000,YES,0.72000000,YES_TO_YES,NO
ZOOKEEPER,src/java/main/org/apache/zookeeper/server/SyncRequestProcessor.java,1,7.0000,YES,YES,0.96000000,YES,0.95000000,YES_TO_YES,NO
ZOOKEEPER,src/java/main/org/apache/zookeeper/server/auth/AuthenticationProvider.java,1,2.0000,NO,NO,0.00000000,NO,0.00000000,NO_TO_NO,NO
ZOOKEEPER,src/java/main/org/apache/jute/compiler/JavaGenerator.java,1,7.0000,NO,NO,0.00000000,NO,0.00000000,NO_TO_NO,NO
ZOOKEEPER,src/java/main/org/apache/jute/compiler/CppGenerator.java,1,7.0000,NO,NO,0.00000000,NO,0.00000000,NO_TO_NO,NO
ZOOKEEPER,src/java/main/org/apache/zookeeper/server/FinalRequestProcessor.java,1,6.0000,YES,YES,0.95000000,YES,0.93000000,YES_TO_YES,NO
ZOOKEEPER,src/java/main/org/apache/zookeeper/server/quorum/CommitProcessor.java,1,8.0000,YES,YES,0.96000000,YES,0.92000000,YES_TO_YES,NO
ZOOKEEPER,src/java/main/org/apache/jute/XmlInputArchive.java,1,20.0000,NO,NO,0.03000000,NO,0.08000000,NO_TO_NO,NO
ZOOKEEPER,src/java/main/org/apache/zookeeper/version/util/VerGen.java,1,9.0000,YES,YES,0.87000000,YES,0.84000000,YES_TO_YES,NO
ZOOKEEPER,src/java/main/org/apache/zookeeper/server/ServerConfig.java,1,2.0000,NO,NO,0.11000000,NO,0.14000000,NO_TO_NO,NO
ZOOKEEPER,src/java/main/org/apache/jute/compiler/JCompType.java,1,1.0000,NO,NO,0.00000000,NO,0.00000000,NO_TO_NO,NO
ZOOKEEPER,src/java/main/org/apache/zookeeper/server/SessionTrackerImpl.java,1,12.0000,NO,NO,0.31000000,NO,0.38000000,NO_TO_NO,NO
ZOOKEEPER,src/java/main/org/apache/zookeeper/server/quorum/FollowerHandler.java,1,15.0000,YES,YES,0.93000000,YES,0.91000000,YES_TO_YES,NO
ZOOKEEPER,docs/zookeeperOtherInfo.html,1,3.0000,NO,NO,0.00000000,NO,0.00000000,NO_TO_NO,NO
ZOOKEEPER,src/java/main/org/apache/jute/BinaryInputArchive.java,1,12.0000,NO,NO,0.04000000,NO,0.06000000,NO_TO_NO,NO
ZOOKEEPER,src/java/jmx/org/apache/zookeeper/server/util/ZooKeeperObserverManager.java,1,5.0000,NO,NO,0.01000000,NO,0.01000000,NO_TO_NO,NO
ZOOKEEPER,src/java/main/org/apache/zookeeper/server/DataTree.java,1,40.0000,YES,YES,0.98000000,YES,0.95000000,YES_TO_YES,NO
ZOOKEEPER,src/java/main/org/apache/jute/compiler/JString.java,1,1.0000,NO,NO,0.00000000,NO,0.00000000,NO_TO_NO,NO
ZOOKEEPER,src/java/main/org/apache/zookeeper/server/DataNode.java,1,11.0000,YES,YES,0.94000000,YES,0.92000000,YES_TO_YES,NO
ZOOKEEPER,src/java/main/org/apache/jute/BinaryOutputArchive.java,1,7.0000,NO,NO,0.17000000,NO,0.21000000,NO_TO_NO,NO
ZOOKEEPER,src/java/main/org/apache/zookeeper/server/auth/HostAuthenticationProvider.java,1,3.0000,NO,NO,0.00000000,NO,0.00000000,NO_TO_NO,NO
ZOOKEEPER,src/java/main/org/apache/jute/CsvOutputArchive.java,1,4.0000,YES,YES,0.85000000,YES,0.86000000,YES_TO_YES,NO
ZOOKEEPER,src/java/main/org/apache/zookeeper/server/quorum/FollowerZooKeeperServer.java,1,4.0000,YES,YES,0.91000000,YES,0.91000000,YES_TO_YES,NO
ZOOKEEPER,src/java/main/org/apache/jute/compiler/JFile.java,1,7.0000,NO,NO,0.01000000,NO,0.01000000,NO_TO_NO,NO
ZOOKEEPER,src/java/main/org/apache/zookeeper/server/WatchManager.java,1,4.0000,NO,NO,0.20000000,NO,0.24000000,NO_TO_NO,NO
ZOOKEEPER,docs/zookeeperProgrammers.html,1,64.0000,NO,NO,0.00000000,NO,0.00000000,NO_TO_NO,NO
ZOOKEEPER,docs/zookeeperStarted.html,1,13.0000,NO,NO,0.00000000,NO,0.00000000,NO_TO_NO,NO
ZOOKEEPER,src/java/main/org/apache/zookeeper/server/util/SerializeUtils.java,1,2.0000,NO,NO,0.06000000,NO,0.08000000,NO_TO_NO,NO
ZOOKEEPER,src/java/main/org/apache/zookeeper/server/auth/IPAuthenticationProvider.java,1,12.0000,NO,NO,0.02000000,NO,0.04000000,NO_TO_NO,NO
ZOOKEEPER,docs/recipes.html,1,27.0000,NO,NO,0.00000000,NO,0.00000000,NO_TO_NO,NO
ZOOKEEPER,src/java/jmx/org/apache/zookeeper/jmx/MBeanRegistry.java,1,4.0000,NO,NO,0.14000000,NO,0.17000000,NO_TO_NO,NO
ZOOKEEPER,src/java/main/org/apache/zookeeper/ZooDefs.java,1,27.0000,NO,NO,0.16000000,NO,0.20000000,NO_TO_NO,NO
ZOOKEEPER,src/java/main/org/apache/zookeeper/Version.java,1,4.0000,NO,NO,0.15000000,NO,0.15000000,NO_TO_NO,NO
ZOOKEEPER,src/java/main/org/apache/zookeeper/server/ServerCnxn.java,1,16.0000,YES,YES,0.72000000,YES,0.60000000,YES_TO_YES,NO
ZOOKEEPER,src/java/main/org/apache/zookeeper/Watcher.java,1,13.0000,YES,YES,0.86000000,YES,0.76000000,YES_TO_YES,NO
ZOOKEEPER,src/java/main/org/apache/jute/compiler/JDouble.java,2,1.0000,NO,NO,0.00000000,NO,0.00000000,NO_TO_NO,NO
ZOOKEEPER,src/java/main/org/apache/zookeeper/server/auth/ProviderRegistry.java,2,3.0000,NO,NO,0.08000000,NO,0.06000000,NO_TO_NO,NO
ZOOKEEPER,src/java/main/org/apache/jute/compiler/CGenerator.java,2,7.0000,NO,NO,0.01000000,NO,0.02000000,NO_TO_NO,NO
ZOOKEEPER,src/java/main/org/apache/zookeeper/server/quorum/Vote.java,2,4.0000,NO,NO,0.32000000,NO,0.25000000,NO_TO_NO,NO
ZOOKEEPER,src/java/main/org/apache/zookeeper/server/PrepRequestProcessor.java,2,11.0000,YES,YES,0.89000000,YES,0.85000000,YES_TO_YES,NO
ZOOKEEPER,src/java/main/org/apache/jute/RecordReader.java,2,9.0000,NO,NO,0.00000000,NO,0.02000000,NO_TO_NO,NO
ZOOKEEPER,src/java/main/org/apache/zookeeper/server/quorum/LeaderElection.java,2,16.0000,NO,NO,0.25000000,NO,0.46000000,NO_TO_NO,NO
ZOOKEEPER,src/java/jmx/org/apache/zookeeper/server/quorum/ObservableLeader.java,2,1.0000,NO,NO,0.01000000,NO,0.02000000,NO_TO_NO,NO
ZOOKEEPER,src/java/jmx/org/apache/zookeeper/jmx/server/ConnectionBean.java,2,1.0000,NO,NO,0.02000000,NO,0.02000000,NO_TO_NO,NO
ZOOKEEPER,src/java/main/org/apache/zookeeper/server/PurgeTxnLog.java,2,9.0000,YES,YES,0.74000000,NO,0.43000000,YES_TO_NO,YES
ZOOKEEPER,src/java/main/org/apache/zookeeper/server/upgrade/DataNodeV1.java,2,11.0000,NO,NO,0.03000000,NO,0.24000000,NO_TO_NO,NO
ZOOKEEPER,src/java/main/org/apache/jute/compiler/generated/SimpleCharStream.java,2,34.0000,NO,NO,0.01000000,NO,0.19000000,NO_TO_NO,NO
ZOOKEEPER,src/java/jmx/org/apache/zookeeper/server/ManagedZooKeeperServerMain.java,2,1.0000,NO,NO,0.18000000,NO,0.25000000,NO_TO_NO,NO
ZOOKEEPER,src/java/main/org/apache/jute/compiler/generated/RccTokenManager.java,2,84.0000,NO,NO,0.00000000,NO,0.19000000,NO_TO_NO,NO
ZOOKEEPER,src/java/main/org/apache/zookeeper/server/quorum/AuthFastLeaderElection.java,2,46.0000,NO,NO,0.34000000,NO,0.43000000,NO_TO_NO,NO
ZOOKEEPER,src/java/main/org/apache/zookeeper/server/Request.java,2,14.0000,NO,NO,0.29000000,NO,0.37000000,NO_TO_NO,NO
ZOOKEEPER,src/java/main/org/apache/jute/compiler/JField.java,2,1.0000,NO,NO,0.00000000,NO,0.00000000,NO_TO_NO,NO
ZOOKEEPER,src/java/main/org/apache/zookeeper/KeeperException.java,2,24.0000,YES,YES,0.64000000,NO,0.49000000,YES_TO_NO,YES
ZOOKEEPER,src/java/main/org/apache/zookeeper/server/quorum/QuorumPeer.java,2,23.0000,YES,YES,0.96000000,YES,0.90000000,YES_TO_YES,NO
ZOOKEEPER,src/java/jmx/org/apache/zookeeper/server/quorum/ManagedQuorumPeer.java,2,1.0000,NO,NO,0.18000000,NO,0.16000000,NO_TO_NO,NO
ZOOKEEPER,src/java/main/org/apache/jute/XmlOutputArchive.java,2,10.0000,NO,NO,0.03000000,NO,0.09000000,NO_TO_NO,NO
ZOOKEEPER,src/java/main/org/apache/zookeeper/WatchedEvent.java,2,2.0000,NO,NO,0.00000000,NO,0.01000000,NO_TO_NO,NO
ZOOKEEPER,docs/zookeeperInternals.html,2,23.0000,NO,NO,0.00000000,NO,0.00000000,NO_TO_NO,NO
ZOOKEEPER,src/java/main/org/apache/zookeeper/server/util/Profiler.java,2,1.0000,NO,NO,0.02000000,NO,0.03000000,NO_TO_NO,NO
ZOOKEEPER,docs/releasenotes.html,2,19.0000,NO,NO,0.00000000,NO,0.00000000,NO_TO_NO,NO
ZOOKEEPER,src/java/main/org/apache/jute/compiler/JBuffer.java,2,3.0000,NO,NO,0.00000000,NO,0.01000000,NO_TO_NO,NO
ZOOKEEPER,src/java/main/org/apache/zookeeper/server/upgrade/DataTreeV1.java,2,33.0000,NO,NO,0.11000000,NO,0.32000000,NO_TO_NO,NO
ZOOKEEPER,src/java/main/org/apache/zookeeper/CreateMode.java,2,1.0000,NO,NO,0.00000000,NO,0.00000000,NO_TO_NO,NO
ZOOKEEPER,src/docs/src/documentation/skinconf.xml,2,6.0000,NO,NO,0.00000000,NO,0.00000000,NO_TO_NO,NO
ZOOKEEPER,src/java/main/org/apache/zookeeper/server/quorum/Follower.java,2,7.0000,NO,NO,0.17000000,NO,0.21000000,NO_TO_NO,NO
ZOOKEEPER,src/java/main/org/apache/zookeeper/server/quorum/ProposalRequestProcessor.java,2,1.0000,NO,NO,0.07000000,NO,0.13000000,NO_TO_NO,NO
ZOOKEEPER,src/java/main/org/apache/jute/RecordWriter.java,2,17.0000,NO,NO,0.01000000,NO,0.03000000,NO_TO_NO,NO
ZOOKEEPER,src/java/main/org/apache/zookeeper/server/upgrade/UpgradeSnapShot.java,2,1.0000,NO,NO,0.01000000,NO,0.01000000,NO_TO_NO,NO
ZOOKEEPER,src/java/main/org/apache/zookeeper/server/persistence/FileTxnLog.java,2,15.0000,YES,YES,0.87000000,YES,0.61000000,YES_TO_YES,NO
ZOOKEEPER,src/java/jmx/org/apache/zookeeper/server/quorum/ObservableFollower.java,2,1.0000,NO,NO,0.01000000,NO,0.01000000,NO_TO_NO,NO
ZOOKEEPER,src/java/main/org/apache/zookeeper/server/persistence/Util.java,2,9.0000,YES,YES,0.87000000,YES,0.55000000,YES_TO_YES,NO
ZOOKEEPER,src/java/main/org/apache/zookeeper/server/persistence/FileTxnSnapLog.java,2,8.0000,YES,YES,0.84000000,YES,0.57000000,YES_TO_YES,NO
ZOOKEEPER,src/java/main/org/apache/zookeeper/ClientCnxn.java,2,43.0000,YES,YES,0.97000000,YES,0.92000000,YES_TO_YES,NO
ZOOKEEPER,src/java/main/org/apache/zookeeper/server/quorum/QuorumPeerConfig.java,2,6.0000,YES,YES,0.91000000,YES,0.87000000,YES_TO_YES,NO
ZOOKEEPER,docs/zookeeperOver.html,2,35.0000,NO,NO,0.00000000,NO,0.00000000,NO_TO_NO,NO
ZOOKEEPER,src/java/main/org/apache/jute/compiler/JRecord.java,2,49.0000,NO,NO,0.02000000,NO,0.20000000,NO_TO_NO,NO
ZOOKEEPER,src/java/main/org/apache/jute/compiler/generated/ParseException.java,2,15.0000,NO,NO,0.02000000,NO,0.05000000,NO_TO_NO,NO
ZOOKEEPER,src/java/main/org/apache/jute/Utils.java,2,27.0000,YES,YES,0.64000000,NO,0.31000000,YES_TO_NO,YES
ZOOKEEPER,src/java/jmx/org/apache/zookeeper/server/ManagedZooKeeperServer.java,2,1.0000,NO,NO,0.02000000,NO,0.02000000,NO_TO_NO,NO
ZOOKEEPER,src/java/jmx/org/apache/zookeeper/jmx/CommonNames.java,2,2.0000,NO,NO,0.00000000,NO,0.00000000,NO_TO_NO,NO
ZOOKEEPER,src/java/main/org/apache/zookeeper/server/ServerStats.java,2,15.0000,NO,NO,0.11000000,NO,0.30000000,NO_TO_NO,NO
ZOOKEEPER,src/java/main/org/apache/zookeeper/AsyncCallback.java,2,1.0000,NO,NO,0.00000000,NO,0.01000000,NO_TO_NO,NO
ZOOKEEPER,src/java/main/org/apache/jute/compiler/generated/Rcc.java,2,133.0000,NO,NO,0.02000000,NO,0.19000000,NO_TO_NO,NO
ZOOKEEPER,src/java/main/org/apache/zookeeper/server/quorum/Leader.java,2,39.0000,NO,NO,0.22000000,NO,0.35000000,NO_TO_NO,NO
ZOOKEEPER,src/java/main/org/apache/zookeeper/server/persistence/FileSnap.java,2,2.0000,YES,YES,0.76000000,YES,0.64000000,YES_TO_YES,NO
ZOOKEEPER,src/java/main/org/apache/zookeeper/server/ZooKeeperServer.java,2,30.0000,NO,NO,0.35000000,NO,0.44000000,NO_TO_NO,NO
ZOOKEEPER,src/java/main/org/apache/zookeeper/ZooKeeperMain.java,2,39.0000,YES,YES,0.81000000,NO,0.48000000,YES_TO_NO,YES
ZOOKEEPER,src/java/main/org/apache/jute/OutputArchive.java,2,7.0000,NO,NO,0.00000000,NO,0.01000000,NO_TO_NO,NO
ZOOKEEPER,src/java/main/org/apache/zookeeper/ZooKeeper.java,2,21.0000,YES,YES,0.97000000,YES,0.92000000,YES_TO_YES,NO
ZOOKEEPER,src/java/main/org/apache/zookeeper/Environment.java,2,3.0000,NO,NO,0.03000000,NO,0.03000000,NO_TO_NO,NO
ZOOKEEPER,src/java/main/org/apache/jute/compiler/JVector.java,2,9.0000,NO,NO,0.01000000,NO,0.04000000,NO_TO_NO,NO
ZOOKEEPER,src/java/main/org/apache/zookeeper/server/quorum/QuorumStats.java,2,6.0000,NO,NO,0.05000000,NO,0.09000000,NO_TO_NO,NO
ZOOKEEPER,src/java/main/org/apache/zookeeper/server/upgrade/UpgradeMain.java,2,2.0000,NO,NO,0.10000000,NO,0.27000000,NO_TO_NO,NO
ZOOKEEPER,src/java/main/org/apache/jute/compiler/JMap.java,2,9.0000,NO,NO,0.00000000,NO,0.00000000,NO_TO_NO,NO
ZOOKEEPER,src/java/main/org/apache/zookeeper/server/TraceFormatter.java,2,4.0000,NO,NO,0.02000000,NO,0.03000000,NO_TO_NO,NO
